cluster_label,agg_tl_x,agg_tl_y,agg_width,agg_height,boxes_in_cluster
48,209.316046694,354.379404574,24.0444098813,15.2883364982,12
49,424.705067163,385.022626223,22.9325034006,14.7274557745,12
50,209.316046694,339.651948799,24.0444098813,14.7274557745,12
51,345.544999811,313.522060614,24.1953904944,26.094204821,12
52,190.906728705,490.209052259,16.5683861899,14.8480804643,12
53,235.089091878,400.402703869,16.110966728,14.7274557745,12
54,373.158976794,400.402703869,49.6132033215,14.7274557745,12
55,209.316046694,429.857615418,24.0444098813,16.5683877463,12
56,190.906728705,475.603010428,16.5683861899,14.7274557745,12
57,235.089091878,475.603010428,16.110966728,14.7274557745,12
58,373.158976794,490.209052259,49.6132033215,14.8480804643,12
59,424.705067163,313.522060614,22.9325034006,26.094204821,12
60,190.906728705,400.402703869,16.5683861899,14.7274557745,12
61,373.158976794,429.857615418,49.6132033215,16.5683877463,12
62,164.818167444,400.402703869,23.9321133855,14.7274557745,12
63,301.362636638,339.651948799,40.7834502083,14.7274557745,12
64,345.544999811,369.106860348,24.1953904944,15.1905019575,12
65,164.818167444,313.522060614,23.9321133855,26.094204821,12
66,164.818167444,385.022626223,23.9321133855,14.7274557745,12
67,209.316046694,490.209052259,24.0444098813,14.8480804643,12
68,345.544999811,400.402703869,24.1953904944,14.7274557745,12
69,164.818167444,475.603010428,23.9321133855,14.7274557745,12
70,111.016763665,216.309506688,51.5460903687,82.8419387315,11
71,301.362636638,490.209052259,40.7834502083,14.8480804643,12
72,255.339341666,400.402703869,43.4820714789,14.7274557745,13
73,373.158976794,385.022626223,49.6132033215,14.7274557745,12
74,373.158976794,339.651948799,49.6132033215,14.7274557745,12
75,424.705067163,475.603010428,22.9325034006,14.7274557745,12
76,209.316046694,385.022626223,24.0444098813,14.7274557745,12
77,345.544999811,415.130159643,24.1953904944,14.8480804643,12
78,190.906728705,313.522060614,16.5683861899,26.094204821,12
79,190.906728705,429.857615418,16.5683861899,16.5683877463,12
80,424.705067163,429.857615418,22.9325034006,16.5683877463,12
81,255.214820974,216.309506688,43.832217326,82.5115332348,12
82,345.544999811,354.379404574,24.1953904944,15.2883364982,12
83,235.089091878,313.522060614,16.110966728,26.094204821,12
84,164.818167444,429.857615418,23.9321133855,16.5683877463,12
85,164.818167444,490.209052259,23.9321133855,14.8480804643,12
